SNR,Power,OSR,Adc1_gm,GBW1,IIP3_Int1,Adc2_gm,GBW2,IIP3_Int2,IIP_FF
70.165,0.00020824,64,53.232,166540000.0,103.29,44.976,162840000.0,79.654,88.889
72.057,0.00020824,64,53.232,166540000.0,88.543,44.976,162840000.0,112.26,100.0
70.031,0.00032939,64,53.232,133630000.0,55.34,44.976,187490000.0,51.185,66.667
70.46,0.00032939,64,53.232,133630000.0,88.543,44.976,187490000.0,112.26,100.0
71.003,0.00032939,64,53.232,218490000.0,0.0,44.976,196090000.0,0.0,0.0
71.015,0.00032939,64,53.232,218490000.0,9.1732,44.976,196090000.0,11.588,11.111
70.97,0.00032939,64,53.232,218490000.0,25.057,44.976,196090000.0,40.953,33.333
71.781,0.00032939,64,53.232,218490000.0,43.296,44.976,196090000.0,35.497,44.444
71.466,0.00032939,64,53.232,218490000.0,48.447,44.976,196090000.0,68.127,55.556
70.494,0.00032939,64,53.232,218490000.0,55.34,44.976,196090000.0,51.185,66.667
70.813,0.00032939,64,53.232,218490000.0,90.067,44.976,196090000.0,94.457,77.778
71.913,0.00032939,64,53.232,218490000.0,103.29,44.976,196090000.0,79.654,88.889
71.863,0.00032939,64,53.232,218490000.0,88.543,44.976,196090000.0,112.26,100.0
71.259,0.00032939,64,53.232,326870000.0,0.0,44.976,306330000.0,0.0,0.0
71.392,0.00032939,64,53.232,326870000.0,9.1732,44.976,306330000.0,11.588,11.111
70.652,0.00032939,64,53.232,326870000.0,25.057,44.976,306330000.0,40.953,33.333
70.841,0.00032939,64,53.232,326870000.0,43.296,44.976,306330000.0,35.497,44.444
70.093,0.00032939,64,53.232,326870000.0,48.447,44.976,306330000.0,68.127,55.556
71.134,0.00032939,64,53.232,326870000.0,55.34,44.976,306330000.0,51.185,66.667
71.836,0.00032939,64,53.232,326870000.0,90.067,44.976,306330000.0,94.457,77.778
70.837,0.00032939,64,53.232,326870000.0,103.29,44.976,306330000.0,79.654,88.889
70.691,0.00032939,64,53.232,326870000.0,88.543,44.976,306330000.0,112.26,100.0
71.804,0.00032939,64,53.232,447980000.0,0.0,44.976,408430000.0,0.0,0.0
70.052,0.00032939,64,53.232,447980000.0,19.873,44.976,408430000.0,26.594,22.222
71.794,0.00032939,64,53.232,447980000.0,48.447,44.976,408430000.0,68.127,55.556
70.741,0.00032939,64,53.232,447980000.0,90.067,44.976,408430000.0,94.457,77.778
71.636,0.00032939,64,53.232,447980000.0,103.29,44.976,408430000.0,79.654,88.889
71.794,0.00032939,64,53.232,447980000.0,88.543,44.976,408430000.0,112.26,100.0
70.309,0.00032112,64,53.232,641160000.0,19.873,44.976,453000000.0,26.594,22.222
70.567,0.00032112,64,53.232,641160000.0,25.057,44.976,453000000.0,40.953,33.333
71.267,0.00032112,64,53.232,641160000.0,43.296,44.976,453000000.0,35.497,44.444
70.097,0.00032112,64,53.232,641160000.0,48.447,44.976,453000000.0,68.127,55.556
71.162,0.00032112,64,53.232,641160000.0,55.34,44.976,453000000.0,51.185,66.667
70.465,0.00032112,64,53.232,641160000.0,90.067,44.976,453000000.0,94.457,77.778
70.272,0.00032112,64,53.232,641160000.0,103.29,44.976,453000000.0,79.654,88.889
73.242,0.00032112,64,53.232,641160000.0,88.543,44.976,453000000.0,112.26,100.0
72.762,0.00032112,64,53.232,775210000.0,0.0,44.976,763980000.0,0.0,0.0
73.141,0.00032112,64,53.232,775210000.0,9.1732,44.976,763980000.0,11.588,11.111
