SNR,OSR,Adc,gm,Io,Vn,Power
58.4186849685995,512,98.6430712143882,0.0003439010565872,0.008871177673972,1.3758704145335e-11,0.028387768556710404
71.9805509651654,256,71.3602362505611,0.0002130983377796,0.005740483859895,2.8270752087213104e-09,0.018369548351664
84.4579953587008,128,325.158051694765,0.0002943743446624,0.0013231108650937,2.6752982211110296e-11,0.00423395476829984
110.1101068605,512,428.201904662935,0.0006994242813785,0.0013851901473674,1.72075194233119e-08,0.004432608471575681
72.3256997187427,256,61.2822018353622,0.0002138676293734,0.0016608600592695,2.5201362763747597e-11,0.0053147521896624
59.3216474720357,512,497.008887349848,0.0002289493190085,0.0039515874198469,4.45514470610216e-11,0.01264507974351008
55.5922177313568,512,186.65244039002,3.35937198865317e-05,0.0009855572031403,8.05727015178493e-08,0.00315378305004896
84.4027856962063,128,63.8489331463862,0.0004889955454287,0.0006869857667105,6.27214111318162e-08,0.0021983544534736
102.801364630332,256,120.25857663206,0.0007856254364149,0.0026105958581467,1.45224660356976e-08,0.00835390674606944
109.738615956562,512,72.7519311982929,0.0007024912630445,0.0011634209209489,3.8227187429414095e-11,0.00372294694703648
76.7709484759737,128,187.275118497897,0.0006042825943164,0.0002598138319515,4.5579083598533396e-11,0.0008314042622448001
60.5190581249421,512,408.998528571944,5.77444412910462e-05,0.0027022446340261,2.44077605540177e-09,0.00864718282888352
55.6299738856641,512,297.511403584798,2.33440290317471e-05,0.0003970015384464,1.20215605260427e-08,0.0012704049230284802
58.0952220906824,512,191.280670993461,5.66625360983522e-05,0.0009969090237417,2.6473145910877103e-09,0.00319010887597344
84.3009274059086,128,52.462661153384,0.0003061754947999,0.0013165032757838,4.566672264850129e-11,0.00421281048250816
60.3603400865334,512,643.509204109342,5.1871193905416e-05,0.0063289210946716,3.36185414869656e-10,0.020252547502949123
99.6011474532765,256,120.36556921586,0.000355945450614,0.0007145669393707,1.46469370118334e-11,0.00228661420598624
58.6794141075935,128,404.570036951086,0.0003588719557354,0.0001436065244737,1.5113399681816697e-11,0.00045954087831584
